samples_proportion,x_vars_proportion,train_time,valid_time,accuracy
2,2,697000,2400,0.898182
3,2,1940700,5000,0.898182
4,2,3070700,4200,0.905455
5,2,5303100,5600,0.912727
6,2,6553000,6900,0.934545
7,2,9637900,8100,0.941818
8,2,12837700,8800,0.938182
1,3,419500,1700,0.934545
2,3,1177300,2400,0.96
3,3,3011300,3200,0.949091
4,3,4968100,4300,0.956364
5,3,8418700,4700,0.967273
6,3,11677100,6100,0.974545
7,3,15902800,7300,0.974545
8,3,20591200,8300,0.970909
1,4,403500,1300,0.934545
2,4,1564900,2300,0.967273
3,4,4013000,3100,0.963636
4,4,6903300,4600,0.956364
5,4,11057000,4800,0.978182
6,4,15793500,5800,0.967273
7,4,21262900,6900,0.978182
8,4,30409900,10300,0.974545
1,1,93800,1100,0.803636
2,1,379900,2500,0.84
3,1,862000,3500,0.810909
4,1,1493100,4700,0.807273
5,1,2289700,5500,0.825455
6,1,3671900,6800,0.818182
7,1,5089700,8500,0.821818
8,1,6023500,8700,0.818182
1,2,173700,1100,0.901818
2,2,692000,2400,0.898182
3,2,1723100,3700,0.898182
4,2,3077900,4200,0.905455
5,2,4808900,5500,0.912727
6,2,6720900,7000,0.934545
7,2,9718200,8300,0.941818
8,2,12690700,8700,0.938182
1,3,304100,1300,0.934545
2,3,1167900,2200,0.96
3,3,2994600,3200,0.949091
4,3,4968500,4400,0.956364
5,3,8313800,4900,0.967273
6,3,11386200,5900,0.974545
7,3,16056100,7100,0.974545
8,3,20542700,7900,0.970909
1,4,401700,1300,0.934545
2,4,1550400,2400,0.967273
3,4,3991000,3200,0.963636
4,4,6794500,4400,0.956364
5,4,11119800,4900,0.978182
6,4,16016300,5700,0.967273
7,4,21679800,7000,0.978182
8,4,27851600,8600,0.974545
1,1,93600,1100,0.803636
2,1,372100,2600,0.84
3,1,855100,3700,0.810909
4,1,1483400,4400,0.807273
5,1,2495300,6100,0.825455
6,1,3736100,6800,0.818182
7,1,4967400,8100,0.821818
8,1,6103400,8400,0.818182
1,2,173700,1000,0.901818
2,2,692400,2500,0.898182
3,2,1700300,3600,0.898182
4,2,3036200,4300,0.905455
5,2,4859600,5300,0.912727
6,2,6567000,7100,0.934545
7,2,10392900,8800,0.941818
8,2,13058100,8700,0.938182
1,3,303100,1200,0.934545
2,3,1168900,2400,0.96
3,3,2991800,3000,0.949091
4,3,5130900,4100,0.956364
5,3,8373500,5500,0.967273
6,3,11287700,5800,0.974545
7,3,15943900,7100,0.974545
8,3,20390400,8300,0.970909
1,4,401800,1200,0.934545
2,4,1550600,2200,0.967273
3,4,4111200,3200,0.963636
4,4,6699600,4300,0.956364
5,4,11324000,4900,0.978182
6,4,18541100,6600,0.967273
7,4,21175700,6800,0.978182
8,4,28742900,8000,0.974545
1,1,93900,1200,0.803636
2,1,372000,2600,0.84
3,1,863600,3600,0.810909
4,1,1481200,4500,0.807273
5,1,2368700,5600,0.825455
6,1,3419100,6300,0.818182
7,1,4696600,7900,0.821818
8,1,6157300,8100,0.818182
1,2,172700,1100,0.901818
2,2,690500,2700,0.898182
3,2,1720300,3900,0.898182
4,2,3035400,4200,0.905455
5,2,5170300,5900,0.912727
6,2,6696100,7100,0.934545
7,2,9716300,8100,0.941818
8,2,12619700,9000,0.938182
1,3,302800,1100,0.934545
2,3,1405900,2400,0.96
3,3,3118000,3200,0.949091
4,3,5715100,4200,0.956364
5,3,8999000,5000,0.967273
6,3,12139300,5800,0.974545
7,3,16838800,6800,0.974545
8,3,21461400,8100,0.970909
1,4,402300,1100,0.934545
2,4,1887000,2400,0.967273
3,4,4640300,3000,0.963636
4,4,7627500,4200,0.956364
5,4,12027200,5000,0.978182
6,4,18433200,6100,0.967273
7,4,23167400,6800,0.978182
8,4,28344500,7900,0.974545
1,1,93200,1100,0.803636
2,1,426000,2500,0.84
3,1,969000,3700,0.810909
4,1,1785300,4500,0.807273
5,1,2497000,5500,0.825455
6,1,4015800,6500,0.818182
7,1,4903500,7800,0.821818
8,1,6515800,8500,0.818182
1,2,172200,1000,0.901818
2,2,799300,2500,0.898182
3,2,1960100,3600,0.898182
4,2,3486800,4300,0.905455
5,2,5229800,5700,0.912727
6,2,7150200,7200,0.934545
7,2,9793400,8000,0.941818
8,2,13394700,8400,0.938182
1,3,303300,1300,0.934545
2,3,1403100,2300,0.96
3,3,3531800,3200,0.949091
4,3,5642400,4300,0.956364
5,3,8952600,4900,0.967273
6,3,12134400,5800,0.974545
7,3,16822600,7100,0.974545
8,3,21391800,8100,0.970909
1,4,413200,1300,0.934545
2,4,1864800,2200,0.967273
3,4,4608600,3400,0.963636
4,4,7624100,4500,0.956364
5,4,12126100,4800,0.978182
6,4,17137200,6000,0.967273
7,4,22397600,6900,0.978182
8,4,28352200,8000,0.974545
1,1,93000,1200,0.803636
2,1,425500,2700,0.84
3,1,969500,3400,0.810909
4,1,1696000,4500,0.807273
5,1,2495800,5800,0.825455
6,1,3693500,6100,0.818182
7,1,4912000,8100,0.821818
8,1,6540300,8500,0.818182
1,2,173500,1200,0.901818
2,2,692900,2500,0.898182
3,2,1742700,3500,0.898182
4,2,3068800,4300,0.905455
5,2,4814000,5600,0.912727
6,2,6640400,7300,0.934545
7,2,9637400,8300,0.941818
8,2,12669000,8500,0.938182
1,3,302700,1400,0.934545
2,3,1239800,2200,0.96
3,3,3063300,3000,0.949091
4,3,5030100,4100,0.956364
5,3,9194200,5500,0.967273
6,3,12565700,6400,0.974545
7,3,16079800,7000,0.974545
8,3,20734900,8400,0.970909
1,4,401800,1400,0.934545
2,4,1550500,2400,0.967273
3,4,3990400,3100,0.963636
4,4,7114500,4300,0.956364
5,4,11284000,4700,0.978182
6,4,15982300,5800,0.967273
7,4,21777000,7000,0.978182
8,4,27237200,8300,0.974545
1,1,93800,1200,0.803636
2,1,371900,2600,0.84
3,1,856600,3600,0.810909
4,1,1497400,4600,0.807273
5,1,2305600,5600,0.825455
6,1,3341000,6100,0.818182
7,1,4741200,7800,0.821818
8,1,6067600,8300,0.818182
1,2,173100,1100,0.901818
2,2,691200,2700,0.898182
3,2,1700300,3800,0.898182
4,2,3258700,4100,0.905455
5,2,5228500,5500,0.912727
6,2,7082700,6900,0.934545
7,2,10407700,8200,0.941818
8,2,12682800,8900,0.938182
1,3,303500,1300,0.934545
2,3,1303800,2400,0.96
3,3,3026100,3200,0.949091
4,3,5083800,4500,0.956364
5,3,8351100,4900,0.967273
6,3,11304200,5900,0.974545
7,3,15998900,6900,0.974545
8,3,20506800,7700,0.970909
1,4,402100,1300,0.934545
2,4,1574300,2300,0.967273
3,4,3991900,3100,0.963636
4,4,6774900,4700,0.956364
