samples_proportion,x_vars_proportion,train_time,valid_time,accuracy
6,4,1171300,17300,1
7,4,1361900,20200,1
8,4,1550200,22700,1
1,1,127300,2500,0.836364
2,1,253900,4900,0.872727
3,1,379300,7300,0.861818
4,1,505600,9700,0.869091
5,1,632200,12200,0.850909
6,1,757400,14500,0.861818
7,1,987300,18900,0.861818
8,1,1110500,21200,0.861818
1,2,161200,3200,0.916364
2,2,318100,6000,0.916364
3,2,433100,8300,0.92
4,2,576200,11100,0.916364
5,2,720400,13800,0.934545
6,2,864400,16500,0.927273
7,2,1109000,21300,0.938182
8,2,1268600,24400,0.927273
1,3,180500,3200,0.989091
2,3,356500,6500,0.992727
3,3,531800,9600,1
4,3,833400,12900,1
5,3,1111200,14400,1
6,3,963400,17000,0.996364
7,3,1124500,20000,1
8,3,1280800,22600,1
1,4,199800,3000,0.996364
2,4,393600,5900,0.996364
3,4,587700,8600,0.996364
4,4,783300,11800,1
5,4,978200,14700,1
6,4,1171900,17100,1
7,4,1362800,20100,1
8,4,1549700,22700,1
1,1,127500,2500,0.836364
2,1,291200,5000,0.872727
3,1,379700,7500,0.861818
4,1,506200,9800,0.869091
5,1,632200,12100,0.850909
6,1,757800,14600,0.861818
7,1,908700,16900,0.861818
8,1,1009000,19300,0.861818
1,2,147000,2900,0.916364
2,2,288900,5500,0.916364
3,2,431600,8000,0.92
4,2,577900,11200,0.916364
5,2,720800,13900,0.934545
6,2,865900,16700,0.927273
7,2,1072800,19400,0.938182
8,2,1151800,22100,0.927273
1,3,163400,3000,0.989091
2,3,322300,5900,0.992727
3,3,482800,8700,1
4,3,645200,11600,1
5,3,804000,14200,1
6,3,963400,17100,0.996364
7,3,1124200,20000,1
8,3,1281100,22600,1
1,4,199200,3100,0.996364
2,4,394400,6000,0.996364
3,4,588000,8700,0.996364
4,4,784100,11700,1
5,4,978200,14600,1
6,4,1179000,17300,1
7,4,1362600,20000,1
8,4,1573100,22600,1
1,1,127600,2400,0.836364
2,1,253700,5000,0.872727
3,1,379100,7300,0.861818
4,1,506000,9700,0.869091
5,1,632300,12200,0.850909
6,1,757600,14500,0.861818
7,1,883800,16900,0.861818
8,1,1009100,19400,0.861818
1,2,146200,2900,0.916364
2,2,289200,5600,0.916364
3,2,431600,8100,0.92
4,2,576300,11200,0.916364
5,2,795500,15300,0.934545
6,2,952700,18300,0.927273
7,2,1107400,21300,0.938182
8,2,1330400,24200,0.927273
1,3,281900,4200,0.989091
2,3,356600,6500,0.992727
3,3,532700,9600,1
4,3,710400,12700,1
5,3,884700,15800,1
6,3,1070000,18700,0.996364
7,3,1525100,20300,1
