samples_proportion,x_vars_proportion,time
3,1,706800
4,1,941100
5,1,1185800
6,1,1418200
7,1,1646700
8,1,1877000
1,2,260700
2,2,516100
3,2,772600
4,2,1033600
5,2,1292500
6,2,1914100
7,2,1803200
8,2,2074200
1,3,279000
2,3,549800
3,3,823200
4,3,1102200
5,3,1377100
6,3,1648700
7,3,1930400
8,3,2419600
1,4,352100
2,4,687100
3,4,948000
4,4,1265600
5,4,1577700
6,4,1895300
7,4,2202800
8,4,2517600
1,1,238700
2,1,476200
3,1,706200
4,1,942000
5,1,1178000
6,1,1425800
7,1,2136200
8,1,1894900
1,2,259600
2,2,516500
3,2,772300
4,2,1036100
5,2,1293300
6,2,1556400
7,2,1906900
8,2,2071500
1,3,277700
2,3,554900
3,3,825700
4,3,1103100
5,3,1374800
6,3,1647800
7,3,1925300
8,3,2205900
1,4,320600
2,4,633300
3,4,1070700
4,4,1396600
5,4,1825900
6,4,1891600
7,4,2203300
8,4,2507800
1,1,240600
2,1,473100
3,1,706600
4,1,943000
5,1,1181300
6,1,1415400
7,1,1656800
8,1,1884100
1,2,259300
2,2,516900
3,2,772800
4,2,1051800
5,2,1292500
6,2,1581100
7,2,1805200
8,2,2073600
1,3,277900
2,3,605000
3,3,824400
4,3,1100800
5,3,1683600
6,3,1656600
7,3,1928200
8,3,2869600
1,4,352400
2,4,698400
3,4,954300
4,4,1266600
5,4,1578400
6,4,1892400
7,4,2202900
8,4,2832700
1,1,237300
2,1,473100
3,1,710300
4,1,1458800
5,1,1340100
6,1,1583300
7,1,1652300
8,1,1883800
1,2,260500
2,2,519200
3,2,775700
4,2,1033500
5,2,1290100
6,2,1556400
7,2,1805600
8,2,2098100
1,3,278100
2,3,901000
3,3,824500
4,3,1102100
5,3,1375200
6,3,1662100
7,3,1949500
8,3,2630500
1,4,322600
2,4,632800
3,4,1427100
4,4,1266900
5,4,1623900
6,4,2097100
7,4,2437000
8,4,2879700
1,1,262400
2,1,519300
3,1,781700
