samples_proportion,x_vars_proportion,time
1,4,431500
2,4,2049200
3,4,3835000
4,4,7130400
5,4,11588700
6,4,19696900
7,4,23296100
8,4,30384800
1,1,96400
2,1,434300
3,1,820200
4,1,1502100
5,1,2433800
6,1,3922600
7,1,4903700
8,1,6399200
1,2,187300
2,2,851600
3,2,1680000
4,2,3151500
5,2,5057000
6,2,7452100
7,2,11124200
8,2,14415100
1,3,354500
2,3,1815600
3,3,4332600
4,3,5302700
5,3,8590100
6,3,12545500
7,3,17631400
8,3,22865500
1,4,420300
2,4,1663100
3,4,3881100
4,4,7128600
5,4,11557900
6,4,16896700
7,4,23376700
8,4,30477400
1,1,94400
2,1,361000
3,1,924800
4,1,1827900
5,1,2483000
6,1,3483000
7,1,4968900
8,1,6336000
1,2,181200
2,2,719900
3,2,1691500
4,2,3124400
5,2,5011700
6,2,7301400
7,2,10260200
8,2,14059800
1,3,324400
2,3,1242600
3,3,3008700
4,3,5283800
5,3,8500000
6,3,12811200
7,3,17724500
8,3,22470800
1,4,431500
2,4,1654100
3,4,3926200
4,4,6905400
5,4,11402900
6,4,16963500
7,4,23171300
8,4,31407600
1,1,97000
2,1,361100
3,1,833100
4,1,1518500
5,1,2495300
6,1,3517700
7,1,5198100
8,1,6887200
1,2,182200
2,2,726200
3,2,1765900
4,2,3108800
5,2,5074700
6,2,7304500
7,2,10280700
8,2,14219900
1,3,325500
2,3,1337300
3,3,2886200
4,3,5198700
5,3,10952600
6,3,14132700
7,3,18892500
8,3,31664500
1,4,490100
2,4,1862100
3,4,4174800
4,4,7112700
5,4,11870800
6,4,16935400
7,4,23323500
8,4,30622000
1,1,95400
2,1,360900
3,1,835500
4,1,1525900
5,1,2422400
6,1,3534000
7,1,5152800
8,1,6611900
1,2,184100
2,2,800700
3,2,1697400
4,2,3473300
5,2,5758500
6,2,8155700
7,2,10803800
8,2,14234100
1,3,405000
2,3,1347100
3,3,3073500
4,3,5481600
5,3,10106200
6,3,13397500
7,3,19289900
8,3,24399800
1,4,439000
2,4,1674100
3,4,3850400
4,4,8016400
5,4,12271000
6,4,16931700
7,4,23687000
8,4,30570200
1,1,94700
2,1,364100
3,1,886500
4,1,1700800
5,1,2655300
6,1,3612800
7,1,5117100
8,1,7025300
1,2,200100
2,2,726500
3,2,1853400
4,2,3410000
5,2,5369900
6,2,8219700
7,2,10818000
8,2,13628100
1,3,316100
2,3,1268200
3,3,2957900
4,3,5468500
5,3,8771300
6,3,12811700
7,3,17516600
8,3,25063300
1,4,457900
2,4,1847400
3,4,4193900
4,4,6923900
5,4,12668600
6,4,17443600
7,4,23631600
8,4,32046000
1,1,94900
2,1,361100
3,1,923700
4,1,1660500
5,1,2683200
6,1,3804200
7,1,5062800
8,1,6556900
1,2,187100
2,2,705200
3,2,1848400
4,2,3103400
5,2,5313800
6,2,7461200
7,2,10304700
8,2,13485900
1,3,363100
2,3,1368800
3,3,3326900
4,3,5224600
5,3,8648300
6,3,13914400
7,3,17771600
8,3,23125100
1,4,430600
2,4,1705100
3,4,4029800
4,4,6863300
5,4,11494900
6,4,16931300
7,4,23567700
8,4,37425500
1,1,108000
2,1,441500
3,1,855500
